image,tile,label,r,g,b,h,s,v
2,"(2, 3)",field,169.8344,145.161,7.744,25.3198,241.1761,170.064
2,"(2, 4)",field,180.2882,156.9771,4.4884,26.0304,248.6743,180.2883
2,"(3, 0)",mine,66.1497,54.7455,28.6085,39.0038,113.6101,66.4054
2,"(3, 1)",mine,74.3926,62.8253,31.8396,28.6152,120.8797,74.8266
2,"(3, 2)",grassland,94.5863,144.7319,24.0719,42.3214,211.2361,144.81
2,"(3, 3)",grassland,83.6611,137.1552,24.9466,43.955,205.9899,137.1954
2,"(3, 4)",field,160.1306,136.416,14.7349,24.7348,229.1801,160.5597
2,"(4, 0)",field,184.1725,160.3211,6.2832,25.7616,245.6343,184.173
2,"(4, 1)",field,187.0703,164.8779,7.7901,26.1713,244.2912,187.0705
2,"(4, 2)",swamp,106.7348,89.9849,39.2283,22.1875,164.6013,106.7374
2,"(4, 3)",swamp,106.6238,98.8941,62.0015,25.3924,117.1441,106.7516
2,"(4, 4)",grassland,92.4821,136.0548,22.7823,41.3386,212.6461,136.2555
3,"(0, 0)",swamp,94.8149,80.0489,42.0094,23.0679,146.4196,95.1309
3,"(0, 1)",field,153.1436,130.411,16.9647,24.4921,222.0149,153.1659
3,"(0, 2)",forest,46.8788,54.2406,15.6303,42.7471,164.8205,57.4317
3,"(0, 3)",forest,32.7158,41.2765,16.9112,45.9646,138.6916,42.2588
3,"(0, 4)",forest,34.0931,43.4632,16.1019,46.6823,146.2574,44.7931
3,"(1, 0)",field,173.7862,150.1371,5.0036,25.4829,246.0321,173.7863
3,"(1, 1)",field,178.4131,154.3046,12.0621,25.5945,238.1442,178.4131
3,"(1, 2)",forest,53.6017,57.1031,29.1403,39.93,125.2542,60.704
3,"(1, 3)",forest,29.8147,41.1409,18.4669,48.3949,131.8541,41.1609
3,"(1, 4)",forest,32.8213,45.2677,18.2625,47.639,140.1709,45.2897
3,"(2, 0)",mine,54.6147,47.4061,27.3145,43.9056,92.9112,54.812
3,"(2, 1)",field,152.3942,129.1405,17.3189,24.3592,221.8042,152.42
3,"(2, 2)",home,102.2487,104.8408,71.9666,35.829,83.8067,108.61
3,"(2, 3)",forest,31.8163,43.0237,16.2536,45.2074,149.8082,43.1671
3,"(2, 4)",lake,36.3308,69.6783,100.7866,80.9548,220.0191,124.5875
3,"(3, 0)",field,181.5583,156.8939,6.074,25.6188,245.8635,181.5583
3,"(3, 1)",forest,55.8205,58.5294,22.1686,34.4967,168.6198,62.605
3,"(3, 2)",forest,33.4396,45.6577,11.3099,43.2565,180.8925,46.5734
3,"(3, 3)",forest,46.4457,52.1667,20.8616,36.8997,167.1381,54.5537
3,"(3, 4)",lake,10.2619,64.1448,129.7691,97.4637,235.5872,134.8571
3,"(4, 0)",lake,18.2228,73.1044,137.4372,94.3807,232.3983,146.8199
3,"(4, 1)",lake,7.9242,73.0389,151.3653,102.1005,243.9529,154.5982
3,"(4, 2)",lake,33.7465,75.6437,117.4653,85.1227,224.4812,139.0261
3,"(4, 3)",forest,31.3889,45.8299,21.6499,48.3144,163.6608,50.3205
3,"(4, 4)",lake,38.0511,65.7267,91.2136,81.7171,217.162,115.2623
4,"(0, 0)",lake,49.4945,82.6401,109.687,78.4102,212.1979,139.4249
4,"(0, 1)",field,185.7186,162.4654,15.9066,27.271,235.0265,188.1062
4,"(0, 2)",field,172.4442,146.9272,17.8597,24.5268,226.8985,172.4748
4,"(0, 3)",swamp,122.6911,108.1115,64.6088,23.005,124.308,122.7146
4,"(0, 4)",field,186.2463,162.6906,6.9508,25.8859,245.1563,186.2463
4,"(1, 0)",lake,15.1061,78.8947,146.0137,98.3495,234.6544,152.2708
4,"(1, 1)",field,170.8052,145.9541,17.0938,24.6568,228.301,170.851
4,"(1, 2)",grassland,112.875,120.0367,28.9348,31.9257,202.0502,135.9755
4,"(1, 3)",grassland,93.5977,141.8261,33.6364,43.1884,194.8213,142.0764
4,"(1, 4)",field,184.3755,160.6995,6.8432,26.0577,245.5749,184.587
4,"(2, 0)",lake,8.5795,78.7248,154.6443,102.5139,241.5116,156.9992
4,"(2, 1)",field,188.3632,164.4948,12.9297,26.2945,237.7743,188.929
4,"(2, 2)",field,190.9378,168.0127,4.3527,26.2247,249.1861,190.9379
4,"(2, 3)",field,184.5292,163.2327,14.9057,26.3703,234.5831,185.4943
4,"(2, 4)",field,183.2364,158.846,9.3336,25.6961,241.9904,183.2364
4,"(3, 0)",lake,43.3149,80.7018,115.3355,83.4345,209.8288,137.8208
4,"(3, 1)",field,187.0033,163.3902,16.1466,26.0097,233.2931,187.2251
4,"(3, 2)",field,181.9054,159.4438,7.4748,26.1224,243.8977,182.0294
4,"(3, 3)",forest,60.2852,65.1216,28.4496,36.1285,155.9707,68.7333
4,"(3, 4)",forest,60.4103,62.6703,28.4151,34.868,154.2072,67.6012
4,"(4, 0)",lake,15.2792,86.604,161.4716,99.3296,238.5152,167.2311
4,"(4, 1)",lake,15.23,86.59,153.8211,98.0358,238.4163,162.246
4,"(4, 2)",home,102.2408,110.9395,102.5794,55.8979,79.7662,122.0355
4,"(4, 3)",lake,8.2332,81.8803,159.2536,103.4167,240.2342,160.3775
4,"(4, 4)",lake,4.9226,77.916,157.1839,104.6182,244.2245,157.5525
5,"(0, 0)",grassland,112.0283,153.8105,39.6965,39.9537,188.1077,157.1193
5,"(0, 1)",lake,13.678,98.1212,173.3027,99.9106,236.9549,180.0152
5,"(0, 2)",forest,51.3936,70.2727,24.3565,45.145,157.139,71.1132
5,"(0, 3)",forest,51.4007,66.1764,24.1141,42.7231,154.0006,66.4817
5,"(0, 4)",forest,49.0026,66.1157,21.6416,43.9773,164.3498,66.6463
5,"(1, 0)",grassland,103.3793,156.1425,36.4384,42.9836,195.9305,156.7013
5,"(1, 1)",forest,48.2046,66.1881,24.0298,44.5041,160.0745,66.3122
5,"(1, 2)",forest,50.3226,67.2555,24.0684,43.0395,163.3474,67.4386
5,"(1, 3)",forest,66.2291,72.2092,30.4612,36.0824,159.8392,75.6803
5,"(1, 4)",grassland,104.7506,152.0321,28.705,41.0571,208.2708,152.7357
5,"(2, 0)",grassland,115.3079,157.1519,38.5002,40.6379,194.599,157.8901
5,"(2, 1)",swamp,104.2756,93.9959,60.5478,29.139,123.1205,106.6172
5,"(2, 2)",home,71.967,75.7534,47.1574,46.5465,132.192,82.3405
5,"(2, 3)",forest,48.8306,64.4031,19.6541,42.3025,167.581,64.9896
5,"(2, 4)",grassland,108.0123,148.2156,23.5179,39.1991,215.7358,149.4283
5,"(3, 0)",grassland,105.3772,154.2019,33.4369,42.4696,201.9858,154.8395
5,"(3, 1)",swamp,114.346,101.5815,61.3659,26.3825,135.7385,117.3704
5,"(3, 2)",lake,15.6815,96.2869,166.994,99.112,229.0336,171.9174
5,"(3, 3)",grassland,121.2476,128.3833,38.7978,32.2883,188.7855,145.442
5,"(3, 4)",grassland,109.1733,127.4009,24.332,34.3029,212.4972,140.264
5,"(4, 0)",forest,58.5252,69.487,41.1708,47.4711,102.436,70.8474
5,"(4, 1)",lake,51.4229,92.569,128.8901,83.734,198.1643,151.1071
5,"(4, 2)",lake,28.2575,79.8529,138.0552,96.3368,209.2905,144.9036
5,"(4, 3)",grassland,104.7358,118.7427,31.5444,33.574,196.3127,129.9789
5,"(4, 4)",field,200.5524,174.4267,10.0825,25.9155,242.2943,200.6415
6,"(0, 0)",field,178.0791,154.0786,5.4092,25.681,246.5355,178.0832
6,"(0, 1)",swamp,115.546,109.684,77.8956,25.7418,85.1314,115.6709
6,"(0, 2)",field,179.4706,156.6386,8.8573,25.8996,241.6544,179.4707
6,"(0, 3)",mine,63.8511,53.6757,23.2793,28.9244,135.2857,64.12
6,"(0, 4)",swamp,105.2388,93.6727,52.667,24.0472,130.8675,105.2762
6,"(1, 0)",mine,59.6857,51.5996,27.1602,33.6676,105.463,60.1186
6,"(1, 1)",swamp,91.2072,80.4486,44.318,24.3654,139.2509,91.4742
6,"(1, 2)",field,116.0511,103.3038,26.7172,48.1161,171.9417,119.4993
6,"(1, 3)",field,183.2395,158.4482,6.9293,25.8075,245.5249,183.2396
6,"(1, 4)",forest,47.385,59.5242,19.5658,44.2746,158.5489,60.7898
6,"(2, 0)",mine,66.4504,56.3587,30.6516,33.0987,105.5172,66.7197
6,"(2, 1)",swamp,102.3738,91.1707,52.8851,23.4694,127.9298,102.4037
6,"(2, 2)",home,77.245,69.2946,44.128,36.3897,127.249,79.7927
6,"(2, 3)",field,171.262,146.4814,8.5329,25.0279,241.0363,171.2719
6,"(2, 4)",field,188.1097,164.263,7.5979,25.9963,244.7612,188.1364
6,"(3, 0)",mine,67.7112,56.6488,30.5145,36.009,109.9256,67.9997
6,"(3, 1)",mine,78.5029,66.8894,35.2202,29.6879,121.2395,79.0908
6,"(3, 2)",grassland,101.8127,154.6512,27.5143,42.3353,209.0043,154.6616
6,"(3, 3)",grassland,91.431,147.5421,27.4858,43.8404,205.9358,147.6805
6,"(3, 4)",field,169.032,144.3218,17.8423,24.7119,226.3315,169.2371
6,"(4, 0)",field,190.4303,166.576,8.4469,25.9533,242.0832,190.431
6,"(4, 1)",field,195.0876,172.117,10.9428,26.1835,240.8216,195.0876
6,"(4, 2)",swamp,114.6455,97.034,43.7144,22.2048,162.056,114.7219
6,"(4, 3)",swamp,115.0226,107.5827,66.0634,26.1099,119.0442,115.4998
6,"(4, 4)",grassland,101.6391,147.4277,26.3393,41.2582,210.3314,147.9528
7,"(0, 0)",swamp,105.3975,89.4925,46.349,23.651,145.423,105.7147
7,"(0, 1)",field,164.1754,140.2873,20.6271,24.5677,219.1255,164.179
7,"(0, 2)",forest,50.4333,59.5015,18.4782,41.9323,163.0975,62.141
7,"(0, 3)",forest,37.5205,48.1087,18.9135,45.3625,145.1145,48.9178
7,"(0, 4)",forest,39.5341,49.9635,19.2469,45.5458,145.2406,51.3
7,"(1, 0)",field,178.4861,155.0405,9.0256,25.4563,238.0635,178.4874
7,"(1, 1)",field,185.6349,161.5587,16.1062,25.692,233.3355,185.6349
7,"(1, 2)",forest,53.1923,56.9972,31.3857,43.8574,120.8598,60.9059
7,"(1, 3)",forest,35.1288,47.3653,24.7899,52.1808,120.8284,47.7683
7,"(1, 4)",forest,38.7632,52.3024,22.124,47.3379,135.7273,52.3147
7,"(2, 0)",mine,65.169,56.8834,30.7083,40.9462,95.0122,65.3427
7,"(2, 1)",field,160.7997,137.0755,21.4384,24.7186,217.3646,160.9585
7,"(2, 2)",home,65.7751,67.3567,36.5517,40.8106,130.739,71.3359
7,"(2, 3)",forest,38.1647,48.7497,23.3238,49.0214,133.8731,49.4577
7,"(2, 4)",lake,40.0915,79.1907,112.8457,82.0551,218.9134,138.0369
7,"(3, 0)",field,187.3297,161.6159,10.1615,25.3606,240.4627,187.3297
7,"(3, 1)",forest,61.0308,64.038,25.421,34.2824,165.777,68.4674
7,"(3, 2)",forest,39.3503,52.3757,13.7828,42.7724,180.1522,53.7936
7,"(3, 3)",forest,52.3145,58.7998,23.1754,36.6571,167.6998,61.5313
7,"(3, 4)",lake,11.3595,73.6821,142.6429,97.9729,236.371,147.7458
7,"(4, 0)",lake,16.4086,81.304,151.5701,97.0479,233.4194,158.6361
7,"(4, 1)",lake,7.2289,82.546,165.1707,103.4966,244.011,167.1621
7,"(4, 2)",lake,36.9853,84.0117,125.639,85.1478,221.7138,148.3628
7,"(4, 3)",forest,38.0906,52.365,22.1298,46.3273,158.5085,55.2598
7,"(4, 4)",lake,40.7868,73.2967,101.9208,82.5529,216.3784,126.9434
8,"(0, 0)",lake,47.5864,88.244,121.6395,81.9048,209.8129,147.4035
8,"(0, 1)",field,196.4802,171.2432,16.8825,26.2142,233.3615,197.2882
8,"(0, 2)",field,180.0108,153.6517,21.0293,24.5835,223.8806,180.046
8,"(0, 3)",swamp,130.2285,115.2101,69.2605,23.0811,124.4336,130.2438
8,"(0, 4)",field,195.2428,170.3495,10.2276,25.8519,241.482,195.2428
8,"(1, 0)",lake,17.2744,85.0995,153.0647,98.4103,232.7888,159.7548
8,"(1, 1)",field,179.3226,153.0775,19.9004,24.5756,225.5343,179.332
8,"(1, 2)",grassland,118.956,126.5736,32.6504,32.0258,198.2117,143.2079
8,"(1, 3)",grassland,100.0711,149.6671,36.7672,43.0304,193.0435,149.8691
8,"(1, 4)",field,193.6508,168.1665,10.3975,25.7415,241.3212,193.6509
8,"(2, 0)",lake,9.0945,85.0206,164.1456,103.4893,240.0866,165.8097
8,"(2, 1)",field,197.3715,171.7718,15.2739,25.8798,235.4223,197.5288
8,"(2, 2)",field,198.6983,174.3201,7.0125,26.2003,246.0262,198.6983
8,"(2, 3)",field,193.5037,170.5526,18.1727,26.2111,231.2026,194.2723
8,"(2, 4)",field,191.3568,165.5324,12.9438,25.5522,237.6591,191.3568
8,"(3, 0)",lake,47.4827,86.4606,121.8238,83.0698,209.8202,146.5772
8,"(3, 1)",field,195.5093,169.9226,19.7292,25.7095,229.4808,195.5819
8,"(3, 2)",field,190.4395,165.7906,11.142,25.9315,239.054,190.5742
8,"(3, 3)",forest,66.0786,70.8587,31.3173,35.7295,153.8319,75.0239
8,"(3, 4)",forest,66.6895,68.7235,32.0083,34.7678,149.8028,74.2194
8,"(4, 0)",lake,15.3367,92.2861,172.0599,100.2281,237.5636,176.6728
8,"(4, 1)",lake,17.6254,90.4851,159.0825,97.629,236.9959,168.572
8,"(4, 2)",home,72.5159,76.507,69.5767,54.7546,73.8931,85.0683
8,"(4, 3)",lake,7.309,78.1168,152.5437,102.595,238.6078,154.2673
8,"(4, 4)",lake,5.9421,84.199,168.0864,104.0323,243.8368,168.7905
9,"(0, 0)",unknown,157.7649,126.1031,54.5824,20.7786,166.7308,157.7649
9,"(0, 1)",mine,67.0928,57.1591,32.0771,39.1233,108.4611,67.5036
9,"(0, 2)",field,187.3321,166.9975,9.0548,26.5714,242.1474,187.3877
9,"(0, 3)",field,166.2839,144.8,18.677,25.2779,224.958,166.8901
9,"(0, 4)",grassland,95.393,144.8794,22.3675,42.1327,216.4714,144.8849
9,"(1, 0)",field,187.2915,165.3362,11.5719,26.0981,238.8644,187.4217
9,"(1, 1)",grassland,95.2732,117.2753,25.1885,37.3987,211.0182,129.4246
9,"(1, 2)",lake,19.9695,81.3028,140.1818,95.9527,239.4496,153.3419
9,"(1, 3)",field,168.4095,146.7091,17.0177,25.3605,227.7564,168.6058
9,"(1, 4)",forest,59.9037,65.742,25.3052,35.7665,170.5058,69.1565
9,"(2, 0)",unknown,153.5781,125.2021,54.1076,21.5975,164.7201,154.9264
9,"(2, 1)",grassland,103.3239,147.2328,30.3458,41.0344,203.0434,147.7906
9,"(2, 2)",grassland,119.2294,124.1338,31.8719,32.1497,196.8131,141.1088
9,"(2, 3)",field,187.2619,166.1648,5.6853,26.2693,247.3223,187.2619
9,"(2, 4)",field,189.6779,167.335,8.666,26.2305,243.3595,189.684
9,"(3, 0)",field,185.8555,165.9079,16.6203,26.3607,230.2641,185.8976
9,"(3, 1)",swamp,109.0355,99.1641,51.2617,24.9855,140.834,110.5439
9,"(3, 2)",field,189.4788,168.4261,10.2128,26.4207,241.3769,189.7155
9,"(3, 3)",field,189.1076,167.0376,11.1026,26.2938,239.732,189.4418
9,"(3, 4)",home,135.9056,134.8125,74.9508,28.2856,116.738,138.2781
9,"(4, 0)",swamp,110.5367,99.9756,64.9732,26.1976,112.8388,110.9943
9,"(4, 1)",swamp,127.2435,116.0762,75.2845,23.9466,105.6603,127.3271
9,"(4, 2)",field,169.4055,146.5794,23.7582,24.7584,217.8804,169.4401
9,"(4, 3)",field,175.9278,157.5306,22.7524,29.8723,231.2859,182.6213
9,"(4, 4)",lake,10.4717,78.0046,145.6536,98.9467,242.3848,151.3203
10,"(0, 0)",field,145.1101,124.1938,13.0308,24.8402,229.404,145.1443
10,"(0, 1)",mine,56.1248,48.546,19.1171,34.7443,119.9502,56.2864
10,"(0, 2)",mine,50.7213,41.61,19.2173,34.6136,124.1605,50.9571
10,"(0, 3)",mine,51.52,43.1538,20.24,31.1693,121.6381,51.8652
10,"(0, 4)",unknown,111.0419,79.8468,14.5409,20.9558,212.556,111.0583
10,"(1, 0)",lake,14.2731,69.4522,136.2355,96.7904,234.4575,143.5162
10,"(1, 1)",forest,42.6675,49.0284,21.849,38.9089,171.6801,52.7496
10,"(1, 2)",swamp,82.0473,73.2057,37.2005,24.7192,151.8223,82.7153
10,"(1, 3)",swamp,94.1676,85.0645,46.033,24.6864,136.7897,94.226
10,"(1, 4)",unknown,120.918,88.9502,21.3095,20.6347,209.0329,120.918
10,"(2, 0)",lake,9.5089,66.6562,139.1772,101.0181,238.3786,142.8435
10,"(2, 1)",lake,2.5911,69.4993,151.3795,106.2465,248.2075,151.541
10,"(2, 2)",home,108.9945,98.9943,85.9878,26.7359,75.1935,113.6498
10,"(2, 3)",swamp,87.0663,75.2628,39.4202,23.6043,151.9018,87.3785
10,"(2, 4)",field,171.6686,149.9825,2.6282,26.0453,250.3511,171.6686
10,"(3, 0)",lake,7.2253,78.6562,157.9455,102.0323,245.8903,161.0601
10,"(3, 1)",lake,32.2217,78.143,121.2649,86.172,225.9963,141.7718
10,"(3, 2)",forest,35.9642,50.0199,14.7682,44.8033,192.7546,53.1771
10,"(3, 3)",field,171.2585,151.1308,9.6083,26.4826,239.8566,171.6989
10,"(3, 4)",field,176.6831,154.1409,5.7088,26.0677,246.8754,176.6963
10,"(4, 0)",lake,10.515,82.1213,155.6951,99.3262,236.7647,159.2054
10,"(4, 1)",lake,31.8889,80.3061,125.1907,87.3776,228.969,145.6348
10,"(4, 2)",forest,37.4194,51.8222,16.0607,45.5292,182.7079,54.4467
10,"(4, 3)",forest,50.8244,58.6771,28.1872,39.7343,141.1385,60.6192
10,"(4, 4)",forest,40.7626,54.4221,17.9395,44.3776,162.6738,54.7875
11,"(0, 0)",forest,40.3162,50.672,21.9058,46.6315,160.7326,56.8426
11,"(0, 1)",forest,50.9199,55.3094,24.8577,37.1104,148.1173,58.3045
11,"(0, 2)",forest,37.8266,49.608,14.2673,45.8039,162.8936,50.7721
11,"(0, 3)",forest,33.067,45.0723,16.4096,44.9355,153.4888,45.1187
11,"(0, 4)",forest,28.5047,40.1174,15.5315,48.1203,146.2132,40.138
11,"(1, 0)",lake,41.0024,68.995,91.7348,79.5686,215.692,118.3973
11,"(1, 1)",field,169.1765,150.0344,12.2249,29.7482,243.997,174.8209
11,"(1, 2)",field,152.1845,130.3418,11.9629,24.895,232.6368,152.2139
11,"(1, 3)",forest,35.8799,46.5919,16.8881,44.6265,151.6614,47.0807
11,"(1, 4)",forest,30.5961,41.5388,18.033,47.5766,134.1533,41.5498
11,"(2, 0)",lake,46.2759,72.4707,92.423,74.473,211.3897,122.03
11,"(2, 1)",field,165.2388,145.9899,11.6808,27.4292,238.041,167.1191
11,"(2, 2)",field,168.2817,148.5686,3.1773,26.6507,249.3699,169.4035
11,"(2, 3)",forest,44.4417,50.2675,21.3804,37.7186,158.8402,52.705
11,"(2, 4)",home,87.139,91.9167,68.7037,36.6191,74.5822,93.5671
11,"(3, 0)",lake,13.5773,59.8375,113.1879,96.4535,225.8527,118.5012
11,"(3, 1)",grassland,78.7528,95.1575,17.0472,34.7143,214.9313,103.8343
11,"(3, 2)",grassland,80.8275,121.3284,16.6278,41.0676,219.4253,122.5532
11,"(3, 3)",forest,46.93,50.8578,22.9247,36.0767,153.6039,53.2387
11,"(3, 4)",forest,32.3737,44.931,17.2427,46.7921,154.8997,45.2761
11,"(4, 0)",unknown,145.2444,109.7716,31.8621,20.6717,199.2588,145.2444
11,"(4, 1)",unknown,143.2196,109.2069,32.4112,20.7995,198.0386,143.2196
11,"(4, 2)",grassland,88.4258,120.4894,13.9922,38.3242,226.1135,123.4891
11,"(4, 3)",forest,36.9211,45.8527,12.9473,41.8021,169.0209,47.4774
11,"(4, 4)",forest,35.1063,46.8862,14.5582,43.5098,164.1652,47.0898
12,"(0, 0)",field,188.3079,165.4335,9.3045,25.9313,241.66,188.3079
12,"(0, 1)",field,178.8274,155.0176,8.9994,25.8833,241.0117,178.9549
12,"(0, 2)",grassland,83.4336,142.9287,24.7207,45.774,216.3725,144.5484
12,"(0, 3)",grassland,94.4354,148.8099,29.6694,44.7579,208.2183,150.2215
12,"(0, 4)",unknown,144.5314,110.0041,30.6988,21.1441,201.9877,145.2991
12,"(1, 0)",forest,47.574,58.9124,24.6118,45.5548,137.0724,60.3251
12,"(1, 1)",lake,40.1749,81.0096,112.9466,82.9691,217.4779,136.7086
12,"(1, 2)",lake,11.0503,81.5392,147.1129,99.4852,232.2103,152.1692
12,"(1, 3)",lake,7.8242,84.9992,158.8537,99.9303,247.3077,164.3532
12,"(1, 4)",unknown,135.3622,102.3934,30.9207,24.3115,205.9968,140.125
12,"(2, 0)",grassland,92.9264,147.0254,24.4855,42.9545,212.8238,147.4632
12,"(2, 1)",grassland,92.6625,143.9653,17.9313,42.3962,224.6446,144.4186
12,"(2, 2)",grassland,103.7088,114.1116,28.9883,33.49,200.7627,129.3985
12,"(2, 3)",forest,43.0135,62.799,15.0616,44.7231,178.8251,63.1622
12,"(2, 4)",lake,4.4076,82.2737,161.437,103.3298,247.3725,163.3165
12,"(3, 0)",grassland,99.4051,148.7228,31.8464,42.1861,197.4136,148.9364
12,"(3, 1)",swamp,102.0293,88.3791,45.5423,24.5162,153.6771,102.7741
12,"(3, 2)",grassland,90.692,139.6632,31.5645,43.37,197.9511,139.9489
12,"(3, 3)",field,181.3045,160.5512,13.8241,26.2797,235.7918,181.9135
12,"(3, 4)",lake,5.1272,81.8606,162.2919,103.5822,249.6975,164.8256
12,"(4, 0)",swamp,108.0971,91.737,45.4928,21.846,153.98,108.1528
12,"(4, 1)",swamp,108.7946,101.1936,64.6902,25.7012,114.6189,109.0208
12,"(4, 2)",home,102.2066,112.6483,105.7229,57.796,67.8949,120.1129
12,"(4, 3)",field,181.9282,160.0977,11.1074,26.2778,239.1338,182.0816
12,"(4, 4)",lake,39.1708,74.7819,106.827,83.6345,215.5869,129.2461
13,"(0, 0)",unknown,155.9405,125.0832,54.456,20.8661,165.9161,155.9405
13,"(0, 1)",mine,65.9037,56.4907,33.2576,46.2547,99.5427,66.3457
13,"(0, 2)",field,182.6885,162.7781,8.52,26.6771,240.9387,182.7208
13,"(0, 3)",field,166.4394,144.76,18.4079,25.2438,224.9245,166.5147
13,"(0, 4)",grassland,97.2529,145.2001,22.6175,41.8935,216.0431,145.8581
13,"(1, 0)",field,186.8256,165.9737,9.8215,26.3684,241.5763,186.8814
13,"(1, 1)",grassland,96.5578,117.7512,22.9416,35.5975,210.423,128.7726
13,"(1, 2)",lake,12.9139,76.5154,144.0992,99.6566,237.9157,150.1786
13,"(1, 3)",field,169.6814,147.685,16.5413,25.2495,228.433,169.7206
13,"(1, 4)",forest,58.7037,64.6838,24.9488,36.0665,168.9196,67.866
13,"(2, 0)",unknown,151.5413,123.3987,54.1139,21.3928,163.4532,152.4412
13,"(2, 1)",grassland,101.5334,145.6025,30.2313,41.175,202.3853,146.196
13,"(2, 2)",grassland,112.3917,120.3999,32.7527,33.3065,193.5866,136.2501
13,"(2, 3)",field,186.3577,166.1334,5.1783,26.4493,248.0535,186.3577
13,"(2, 4)",field,180.6685,160.4433,11.6951,26.4674,234.7015,180.7278
13,"(3, 0)",field,184.0906,164.8045,16.8489,26.474,229.7581,184.126
13,"(3, 1)",swamp,104.0715,95.8246,51.8908,25.3593,134.8767,106.0355
13,"(3, 2)",field,187.1534,167.5746,10.4989,26.7243,240.8087,187.6733
13,"(3, 3)",field,179.7609,157.7098,7.8849,26.1417,243.8979,179.859
13,"(3, 4)",home,70.4954,69.6752,36.9244,33.0987,137.5379,72.2309
13,"(4, 0)",swamp,109.0983,99.1571,63.4457,24.7964,113.3151,109.5005
13,"(4, 1)",swamp,122.8296,113.0323,76.2154,24.1889,99.7539,122.9258
13,"(4, 2)",field,166.4329,144.7694,23.8518,24.935,216.8385,166.4761
13,"(4, 3)",field,177.7151,158.0326,18.8493,28.2309,231.7069,180.8156
13,"(4, 4)",lake,7.4063,75.1828,145.2089,100.4727,244.0441,148.7518
14,"(0, 0)",field,143.9806,122.8623,12.5058,24.7609,230.0303,143.9958
14,"(0, 1)",mine,52.3198,44.9953,19.1107,34.3134,113.2047,52.5171
14,"(0, 2)",mine,51.7494,42.5869,19.4067,32.7576,126.6688,51.9786
14,"(0, 3)",mine,50.8418,42.3718,20.0267,28.3604,120.0224,51.1162
